Settlement,SocioeconomicCluster,PercentTechStudents,PercentTeachersMasters,PercentHighSchoolTeachersMasters,PercentRegionalAccommodations,PercentInstitutionalAccommodations,PersistenceRate,DropoutRate,PercentShakdQuestionnaires,PercentBagrutEligible,PercentBagrutEligibleRegular,PercentExcellentBagrut,PercentOutstandingBagrutRegular,Percent4UnitsEnglish,Percent4UnitsEnglishRegular,Percent5UnitsEnglish,Percent5UnitsEnglishRegular,Percent4UnitsMath,Percent4UnitsMathRegular,Percent5UnitsMath,Percent5UnitsMathRegular,AvgClassSizeHighSchool,Year,HighSchoolStudentsPerHighClass,TechClassRatio,GiftedClassRatio,StudentsPerResidentRatio,HighSchoolCoverageRatio,HilaStudentRatio,TeacherStudentRatio,StudentPerClass,StudentPerSchool,OutstandingToTotal,DropoutToPersistenceRatio,5UnitsIndex,DropoutRiskScore,SchoolExcellentScore,5UnitsIndexRegular,SchoolExcellentScoreRegular,4UnitsIndex,4UnitsIndexRegular,CrimeRate
אבו גוש,3,0.166204986,0.371428571,0.394736842,0.162790698,0.453488372,0.9296,0.00621118,0.031746032,0.634,0.693,0.03,0.034,0.158,0.182,0.208,0.239,0.149,0.17,0.04,0.045,24.16666667,2019,18.0,0.13636363636363635,0.0,0.19037871033776868,0.6,0.013739545997610514,0.10454002389486261,17.929577464788732,254.6,0.0473186119873817,0.0066815619621342515,0.124,0.024278736952081697,0.09266666666666667,0.142,0.10599999999999998,0.1535,0.176,0.05678670360110803
אבו סנאן,3,0.175675676,0.324137931,0.321428571,0.194871795,0.035897436,0.9079,0.017278618,0.070422535,0.655,0.687,0.107,0.113,0.272,0.287,0.262,0.272,0.194,0.2,0.087,0.092,28.35,2019,30.17391304347826,0.13043478260869565,0.0,0.1914998243765367,0.42857142857142855,0.001467351430667645,0.10638297872340426,23.203703703703702,358.0,0.1633587786259542,0.019031410948342327,0.1745,0.018874787193934556,0.152,0.182,0.159,0.233,0.2435,0.034656498944644926
אבן יהודה,8,0.145273632,0.461538462,0.532374101,0.562992126,0.192913386,0.863,0.015892421,0.0,0.886,0.885,0.153,0.154,0.184,0.186,0.592,0.589,0.216,0.213,0.263,0.265,25.88095238,2019,17.102564102564102,0.07692307692307693,0.0,0.2105541945308879,0.42857142857142855,0.0018867924528301887,0.08993710691823899,27.753521126760564,563.0,0.17268623024830698,0.018415319814600234,0.4275,0.017414877229383407,0.336,0.427,0.336,0.2,0.1995,0.024016707274625827
אום אל-פחם,2,0.455284553,0.335059172,0.438502674,0.170510708,0.243822076,0.9539,0.006897684,0.016701461,0.625,0.643,0.107,0.113,0.327,0.337,0.176,0.184,0.156,0.161,0.093,0.098,26.58273381,2019,23.31578947368421,0.09210526315789473,0.0,0.23788330888922604,0.43333333333333335,0.005456735879810077,0.09581177804549643,24.815198618307427,478.93333333333334,0.1712,0.0072310346996540525,0.1345,0.01225681540311804,0.12533333333333332,0.14100000000000001,0.13166666666666668,0.2415,0.249,0.032711156566947924
אופקים,3,0.541122214,0.301775148,0.295238095,0.148148148,0.175925926,0.7723,0.011957484,0.007518797,0.477,0.503,0.017,0.019,0.183,0.189,0.171,0.183,0.109,0.118,0.043,0.047,23.42857143,2019,21.353846153846153,0.1076923076923077,0.0,0.1652350873483627,0.38461538461538464,0.0035188739603326936,0.08109404990403071,22.27536231884058,236.46153846153845,0.03563941299790357,0.015482952220639648,0.10700000000000001,0.015535883479505531,0.07700000000000001,0.11499999999999999,0.08299999999999999,0.146,0.1535,0.03810623556581986
אור יהודה,5,0.311447811,0.384778013,0.331288344,0.315457413,0.305993691,0.6869,0.007157895,0.014814815,0.561,0.637,0.013,0.012,0.205,0.233,0.178,0.205,0.088,0.102,0.045,0.05,23.36,2019,26.618181818181817,0.10909090909090909,0.0,0.15449767082679422,0.4117647058823529,0.005320864237342793,0.07626572073524669,24.71171171171171,322.70588235294116,0.0231729055258467,0.01042057795894599,0.11149999999999999,0.013173206702515493,0.07866666666666666,0.1275,0.08900000000000001,0.1465,0.1675,0.04084521542183559
אור עקיבא,5,0.654383736,0.456852792,0.593984962,0.452830189,0.240566038,0.7478,0.012368584,0.004329004,0.896,0.89,0.036,0.043,0.38,0.381,0.3,0.357,0.212,0.252,0.096,0.114,19.3902439,2019,17.925,0.125,0.0,0.1301491550634219,0.45454545454545453,0.009206349206349206,0.12507936507936507,22.0,302.0,0.040178571428571425,0.016539962556833376,0.198,0.02109826491511138,0.144,0.2355,0.17133333333333334,0.296,0.3165,0.043786528695985434
אורנית,8,0.368286445,0.464968153,0.614035088,0.336134454,0.109243697,0.7262,0.007005254,0.0,0.894,0.892,0.146,0.15,0.081,0.075,0.797,0.8,0.285,0.275,0.39,0.4,28.3,2019,29.266666666666666,0.0,0.0,0.21690701143709598,0.25,0.0004585052728106373,0.07198532783127005,28.04225352112676,497.75,0.16331096196868009,0.009646452767832553,0.5935,0.007507514170768458,0.4443333333333333,0.6000000000000001,0.45,0.183,0.17500000000000002,0.01699838622915546
אילת,6,0.36550308,0.402552204,0.527696793,0.262411348,0.111702128,0.865,0.011681056,0.006976744,0.654,0.702,0.031,0.034,0.195,0.21,0.414,0.447,0.116,0.128,0.088,0.097,22.37931034,2019,23.24175824175824,0.12087912087912088,0.0,0.15879244493276828,0.38095238095238093,0.0054914881933003845,0.09467325645249863,24.195190947666195,407.2857142857143,0.047400611620795105,0.013504110982658961,0.251,0.0175269580226821,0.17766666666666667,0.272,0.19266666666666668,0.1555,0.16899999999999998,0.11506839005851253
אכסאל,3,0.313664596,0.333333333,0.344444444,0.19858156,0.375886525,0.95,0.000649351,0.053030303,0.609,0.608,0.035,0.036,0.377,0.371,0.201,0.205,0.134,0.137,0.046,0.047,28.6,2019,21.22222222222222,0.06666666666666667,0.0,0.2445927903871829,0.5555555555555556,0.0002729257641921397,0.10480349344978165,23.707792207792206,405.6666666666667,0.0574712643678161,0.0006835273684210527,0.1235,0.0009232485623116955,0.09400000000000001,0.126,0.09599999999999999,0.2555,0.254,0.03592853416797079
